Population,Bag,Oyster,Length,Date,Survived,Type
MV,2,28956,61.16,24-May-22,Alive,Wild
MV,2,28956,63.45,19-Oct-22,Alive,Wild
GH,2,28957,27,28-Jul-21,Alive,Wild
GH,2,28957,28.67,26-Aug-21,Alive,Wild
GH,2,28957,42.79,25-Oct-21,Alive,Wild
MV,2,28958,34.31,28-Jul-21,Alive,Wild
MV,2,28958,37.97,26-Aug-21,Alive,Wild
MV,2,28958,56.3,25-Oct-21,Alive,Wild
MV,2,28958,54.49,24-May-22,Alive,Wild
MV,2,28958,51.73,19-Oct-22,Dead,Wild
GH,2,28959,40.9,28-Jul-21,Alive,Wild
GH,2,28959,47.38,26-Aug-21,Alive,Wild
GH,2,28959,58.54,25-Oct-21,Alive,Wild
MV,2,28960,28.53,28-Jul-21,Alive,Wild
MV,2,28960,39.58,26-Aug-21,Alive,Wild
MV,2,28960,59.34,25-Oct-21,Alive,Wild
MV,2,28960,56.09,24-May-22,Alive,Wild
MV,2,28960,62.44,19-Oct-22,Alive,Wild
GH,2,28961,39,28-Jul-21,Alive,Wild
GH,2,28961,48.45,26-Aug-21,Alive,Wild
GH,2,28961,71.3,25-Oct-21,Alive,Wild
MV,2,28962,41.97,28-Jul-21,Alive,Wild
MV,2,28962,40.32,26-Aug-21,Alive,Wild
MV,2,28962,64.79,25-Oct-21,Alive,Wild
MV,2,28962,54.46,24-May-22,Alive,Wild
MV,2,28962,70.31,19-Oct-22,Alive,Wild
GH,2,28963,38,28-Jul-21,Alive,Wild
GH,2,28963,37.58,26-Aug-21,Alive,Wild
GH,2,28963,33.44,25-Oct-21,Alive,Wild
GH,2,28964,27.7,28-Jul-21,Alive,Wild
GH,2,28964,36.78,26-Aug-21,Alive,Wild
GH,2,28964,61.59,25-Oct-21,Alive,Wild
GH,2,28965,28,28-Jul-21,Alive,Wild
GH,2,28965,34.43,26-Aug-21,Alive,Wild
GH,2,28965,46.57,25-Oct-21,Alive,Wild
GH,2,28966,33,28-Jul-21,Alive,Wild
GH,2,28966,37.61,26-Aug-21,Alive,Wild
GH,2,28966,56,25-Oct-21,Alive,Wild
MV,2,28967,29.54,28-Jul-21,Alive,Wild
MV,2,28967,37.75,26-Aug-21,Alive,Wild
MV,2,28967,53.64,25-Oct-21,Alive,Wild
MV,2,28967,51.28,24-May-22,Alive,Wild
MV,2,28967,48.34,19-Oct-22,Dead,Wild
MV,2,28968,39.05,28-Jul-21,Alive,Wild
MV,2,28968,39.53,26-Aug-21,Alive,Wild
MV,2,28968,52.95,25-Oct-21,Alive,Wild
MV,2,28968,52.81,24-May-22,Alive,Wild
MV,2,28968,53.34,19-Oct-22,Alive,Wild
GH,2,28969,28.8,28-Jul-21,Alive,Wild
GH,2,28969,30.13,26-Aug-21,Alive,Wild
GH,2,28969,33.32,25-Oct-21,Alive,Wild
GH,2,28970,30,28-Jul-21,Alive,Wild
GH,2,28970,38.53,26-Aug-21,Alive,Wild
GH,2,28970,65.66,25-Oct-21,Alive,Wild
MV,2,28971,32.09,28-Jul-21,Alive,Wild
MV,2,28971,39.46,26-Aug-21,Alive,Wild
MV,2,28971,46.24,25-Oct-21,Alive,Wild
MV,2,28971,49.18,24-May-22,Alive,Wild
MV,2,28971,43.69,19-Oct-22,Dead,Wild
MV,2,28972,38.67,28-Jul-21,Alive,Wild
MV,2,28972,43.34,26-Aug-21,Alive,Wild
MV,2,28972,56.67,25-Oct-21,Alive,Wild
MV,2,28972,56.64,24-May-22,Alive,Wild
MV,2,28972,59.71,19-Oct-22,Alive,Wild
MV,2,28973,39.03,28-Jul-21,Alive,Wild
MV,2,28973,44.71,26-Aug-21,Alive,Wild
MV,2,28973,54.06,25-Oct-21,Alive,Wild
MV,2,28973,53.56,24-May-22,Alive,Wild
MV,2,28973,53.49,19-Oct-22,Alive,Wild
GH,2,28974,34,28-Jul-21,Alive,Wild
GH,2,28974,45.84,26-Aug-21,Alive,Wild
GH,2,28974,54.78,25-Oct-21,Alive,Wild
MV,2,28975,29.2,28-Jul-21,Alive,Wild
MV,2,28975,38.63,26-Aug-21,Alive,Wild
MV,2,28975,63.57,25-Oct-21,Alive,Wild
MV,2,28975,62.6,24-May-22,Alive,Wild
MV,2,28976,31.31,28-Jul-21,Alive,Wild
MV,2,28976,42.11,26-Aug-21,Alive,Wild
MV,2,28976,59.88,25-Oct-21,Alive,Wild
MV,2,28976,55.62,24-May-22,Alive,Wild
MV,2,28976,65.56,19-Oct-22,Alive,Wild
GH,2,28977,44,28-Jul-21,Alive,Wild
GH,2,28977,47.32,26-Aug-21,Alive,Wild
GH,2,28977,58.86,25-Oct-21,Alive,Wild
GH,2,28978,37.7,28-Jul-21,Alive,Wild
GH,2,28978,43.3,26-Aug-21,Alive,Wild
GH,2,28978,54.03,25-Oct-21,Alive,Wild
GH,2,28979,37.5,28-Jul-21,Alive,Wild
GH,2,28979,38.85,26-Aug-21,Alive,Wild
GH,2,28979,37.36,25-Oct-21,Alive,Wild
MV,2,28980,33.47,28-Jul-21,Alive,Wild
MV,2,28980,36.62,26-Aug-21,Alive,Wild
MV,2,28980,50.54,25-Oct-21,Alive,Wild
MV,2,28980,49.36,24-May-22,Alive,Wild
MV,2,28980,43.78,19-Oct-22,Dead,Wild
MV,2,28981,36.03,28-Jul-21,Alive,Wild
MV,2,28981,44.6,26-Aug-21,Alive,Wild
MV,2,28981,60.47,25-Oct-21,Alive,Wild
MV,2,28981,59.16,24-May-22,Alive,Wild
MV,2,28981,53.17,19-Oct-22,Dead,Wild
MV,2,28982,29.54,28-Jul-21,Alive,Wild
MV,2,28982,32.38,26-Aug-21,Alive,Wild
MV,2,28982,50.43,25-Oct-21,Alive,Wild
MV,2,28982,52.75,24-May-22,Alive,Wild
MV,2,28982,55.61,19-Oct-22,Dead,Wild
MV,2,28983,26.14,28-Jul-21,Alive,Wild
MV,2,28983,32.33,26-Aug-21,Alive,Wild
MV,2,28983,48.01,25-Oct-21,Alive,Wild
MV,2,28983,45.06,24-May-22,Alive,Wild
MV,2,28983,51.22,19-Oct-22,Dead,Wild
GH,2,28984,33.2,28-Jul-21,Alive,Wild
GH,2,28984,41.45,26-Aug-21,Alive,Wild
GH,2,28984,49.37,25-Oct-21,Alive,Wild
GH,2,28985,29.3,28-Jul-21,Alive,Wild
GH,2,28985,40.72,26-Aug-21,Alive,Wild
GH,2,28985,64.88,25-Oct-21,Alive,Wild
MV,2,28986,29.26,28-Jul-21,Alive,Wild
MV,2,28986,34.83,26-Aug-21,Alive,Wild
MV,2,28986,54.63,25-Oct-21,Alive,Wild
MV,2,28986,47.94,24-May-22,Alive,Wild
MV,2,28986,47.41,19-Oct-22,Dead,Wild
MV,2,28987,33.36,28-Jul-21,Alive,Wild
MV,2,28987,36.74,26-Aug-21,Alive,Wild
MV,2,28987,59.86,25-Oct-21,Alive,Wild
MV,2,28987,53.32,24-May-22,Alive,Wild
MV,2,28987,61.14,19-Oct-22,Alive,Wild
MV,2,28988,27.72,28-Jul-21,Alive,Wild
MV,2,28988,31.42,26-Aug-21,Alive,Wild
MV,2,28988,49.24,25-Oct-21,Alive,Wild
MV,2,28988,55.58,24-May-22,Alive,Wild
MV,2,28988,45.8,19-Oct-22,Dead,Wild
MV,2,28989,30.73,28-Jul-21,Alive,Wild
MV,2,28989,33.9,26-Aug-21,Alive,Wild
MV,2,28989,53.49,25-Oct-21,Alive,Wild
MV,2,28989,54.83,24-May-22,Alive,Wild
MV,2,28989,66.63,19-Oct-22,Alive,Wild
MV,2,28990,33.69,28-Jul-21,Alive,Wild
MV,2,28990,38.97,26-Aug-21,Alive,Wild
MV,2,28990,53.93,25-Oct-21,Alive,Wild
MV,2,28990,56.26,24-May-22,Alive,Wild
MV,2,28990,47.67,19-Oct-22,Dead,Wild
MV,2,28991,37.72,28-Jul-21,Alive,Wild
MV,2,28991,49.27,26-Aug-21,Alive,Wild
MV,2,28991,64.1,25-Oct-21,Alive,Wild
MV,2,28991,62.03,24-May-22,Alive,Wild
MV,2,28991,64.46,19-Oct-22,Dead,Wild
GH,2,28992,29.9,28-Jul-21,Alive,Wild
GH,2,28992,33.79,26-Aug-21,Alive,Wild
GH,2,28992,46.38,25-Oct-21,Alive,Wild
MV,2,28993,37.03,28-Jul-21,Alive,Wild
MV,2,28993,39.76,26-Aug-21,Alive,Wild
MV,2,28993,58.32,25-Oct-21,Alive,Wild
MV,2,28993,52.72,24-May-22,Alive,Wild
GH,2,28994,26,28-Jul-21,Alive,Wild
GH,2,28994,37.9,26-Aug-21,Alive,Wild
GH,2,28994,54.03,25-Oct-21,Alive,Wild
MV,2,28995,42.85,28-Jul-21,Alive,Wild
MV,2,28995,49.72,26-Aug-21,Alive,Wild
MV,2,28995,60.35,25-Oct-21,Alive,Wild
MV,2,28995,64.52,24-May-22,Alive,Wild
MV,2,28995,56.66,19-Oct-22,Alive,Wild
MV,2,28996,29.54,28-Jul-21,Alive,Wild
MV,2,28996,40.82,26-Aug-21,Alive,Wild
MV,2,28996,69.87,25-Oct-21,Alive,Wild
MV,2,28996,69.52,24-May-22,Alive,Wild
MV,2,28996,81.62,19-Oct-22,Alive,Wild
MV,2,28997,35.4,28-Jul-21,Alive,Wild
MV,2,28997,32.29,26-Aug-21,Alive,Wild
MV,2,28997,45.35,25-Oct-21,Alive,Wild
MV,2,28997,48.3,24-May-22,Alive,Wild
MV,2,28997,55.18,19-Oct-22,Alive,Wild
MV,2,28998,36.35,28-Jul-21,Alive,Wild
MV,2,28998,35.01,26-Aug-21,Alive,Wild
MV,2,28998,48,25-Oct-21,Alive,Wild
MV,2,28998,49.11,24-May-22,Alive,Wild
MV,2,28998,50.09,19-Oct-22,Alive,Wild
MV,2,28999,29.4,28-Jul-21,Alive,Wild
MV,2,28999,32.75,26-Aug-21,Alive,Wild
MV,2,28999,49.05,25-Oct-21,Alive,Wild
MV,2,28999,46.18,24-May-22,Alive,Wild
MV,2,28999,52.06,19-Oct-22,Alive,Wild
MV,2,29000,25.57,28-Jul-21,Alive,Wild
MV,2,29000,36.04,26-Aug-21,Alive,Wild
MV,2,29000,50.87,25-Oct-21,Alive,Wild
MV,2,29000,49.44,24-May-22,Alive,Wild
MV,2,29000,59.01,19-Oct-22,Alive,Wild
MV,2,29001,32.51,28-Jul-21,Alive,Wild
MV,2,29001,37.6,26-Aug-21,Alive,Wild
MV,2,29001,50,25-Oct-21,Alive,Wild
MV,2,29001,47.07,24-May-22,Alive,Wild
MV,2,29001,56.69,19-Oct-22,Alive,Wild
MV,2,29002,32.59,28-Jul-21,Alive,Wild
MV,2,29002,37.89,26-Aug-21,Alive,Wild
MV,2,29002,52.74,25-Oct-21,Alive,Wild
MV,2,29002,43.36,24-May-22,Alive,Wild
MV,2,29002,53.56,19-Oct-22,Alive,Wild
MV,2,29003,30.76,28-Jul-21,Alive,Wild
MV,2,29003,42.59,26-Aug-21,Alive,Wild
MV,2,29003,62.82,25-Oct-21,Alive,Wild
MV,2,29003,54.15,24-May-22,Alive,Wild
MV,2,29003,62.41,19-Oct-22,Alive,Wild
MV,2,29004,37.55,28-Jul-21,Alive,Wild
MV,2,29004,40.8,26-Aug-21,Alive,Wild
MV,2,29004,59.4,25-Oct-21,Alive,Wild
MV,2,29004,60.53,24-May-22,Alive,Wild
MV,2,29004,54.21,19-Oct-22,Dead,Wild
MV,2,29005,34.27,28-Jul-21,Alive,Wild
MV,2,29005,38.93,26-Aug-21,Alive,Wild
MV,2,29005,52.2,25-Oct-21,Alive,Wild
MV,2,29005,54.16,24-May-22,Alive,Wild
MV,2,29005,52.51,19-Oct-22,Dead,Wild
MV,2,29006,29.84,28-Jul-21,Alive,Wild
MV,2,29006,33.59,26-Aug-21,Alive,Wild
MV,2,29006,41.56,25-Oct-21,Alive,Wild
MV,2,29006,41.8,24-May-22,Alive,Wild
MV,2,29006,58.81,19-Oct-22,Alive,Wild
MV,2,29007,35.19,28-Jul-21,Alive,Wild
MV,2,29007,37.83,26-Aug-21,Alive,Wild
MV,2,29007,49.83,25-Oct-21,Alive,Wild
MV,2,29007,44.42,24-May-22,Alive,Wild
MV,2,29007,49.05,19-Oct-22,Alive,Wild
GH,3,29008,33.02,28-Jul-21,Alive,Wild
GH,3,29008,37.46,26-Aug-21,Alive,Wild
GH,3,29008,53.79,25-Oct-21,Alive,Wild
GH,3,29008,56.38,24-May-22,Alive,Wild
GH,3,29008,56.48,19-Oct-22,Alive,Wild
GH,3,29009,21.7,28-Jul-21,Alive,Wild
GH,3,29009,28.42,26-Aug-21,Alive,Wild
GH,3,29009,44.33,25-Oct-21,Alive,Wild
GH,3,29009,45.19,24-May-22,Alive,Wild
GH,3,29009,60.91,19-Oct-22,Dead,Wild
CL1,3,29010,39.74,28-Jul-21,Alive,Commercial
CL1,3,29010,55.29,26-Aug-21,Alive,Commercial
CL1,3,29010,80.11,25-Oct-21,Alive,Commercial
CL1,3,29010,65.48,24-May-22,Alive,Commercial
CL1,3,29010,83.84,19-Oct-22,Alive,Commercial
CL1,3,29011,37.69,28-Jul-21,Alive,Commercial
CL1,3,29011,44.46,26-Aug-21,Alive,Commercial
CL1,3,29011,53.27,25-Oct-21,Alive,Commercial
CL1,3,29011,59.11,24-May-22,Alive,Commercial
CL1,3,29011,70.06,19-Oct-22,Alive,Commercial
CL1,3,29012,40.83,28-Jul-21,Alive,Commercial
CL1,3,29012,50.06,26-Aug-21,Alive,Commercial
CL1,3,29012,61.4,25-Oct-21,Alive,Commercial
CL1,3,29012,67.02,24-May-22,Alive,Commercial
CL1,3,29012,74.9,19-Oct-22,Alive,Commercial
GH,3,29013,33.4,28-Jul-21,Alive,Wild
GH,3,29013,43.55,26-Aug-21,Alive,Wild
GH,3,29013,56.39,25-Oct-21,Alive,Wild
GH,3,29013,57.12,24-May-22,Alive,Wild
GH,3,29013,61.13,19-Oct-22,Dead,Wild
GH,3,29014,25.95,28-Jul-21,Alive,Wild
GH,3,29014,24.95,26-Aug-21,Alive,Wild
GH,3,29014,50.44,25-Oct-21,Alive,Wild
GH,3,29014,38.95,24-May-22,Alive,Wild
GH,3,29014,54.63,19-Oct-22,Dead,Wild
GH,3,29016,29.89,28-Jul-21,Alive,Wild
GH,3,29016,38.61,26-Aug-21,Alive,Wild
GH,3,29016,42.73,25-Oct-21,Alive,Wild
GH,3,29016,50.8,24-May-22,Alive,Wild
GH,3,29016,71.05,19-Oct-22,Alive,Wild
CL1,3,29018,26.2,28-Jul-21,Alive,Commercial
CL1,3,29018,25.01,26-Aug-21,Alive,Commercial
CL1,3,29018,35.1,25-Oct-21,Alive,Commercial
CL1,3,29018,35.48,24-May-22,Alive,Commercial
CL1,3,29018,53.33,19-Oct-22,Alive,Commercial
GH,3,29020,19.83,28-Jul-21,Alive,Wild
GH,3,29020,23.77,26-Aug-21,Alive,Wild
GH,3,29020,55.04,25-Oct-21,Alive,Wild
GH,3,29020,31.18,24-May-22,Alive,Wild
GH,3,29020,44,19-Oct-22,Alive,Wild
CL1,3,29021,35.4,28-Jul-21,Alive,Commercial
CL1,3,29021,37.92,26-Aug-21,Alive,Commercial
CL1,3,29021,53.13,25-Oct-21,Alive,Commercial
CL1,3,29021,48.27,24-May-22,Alive,Commercial
CL1,3,29021,61.87,19-Oct-22,Alive,Commercial
GH,3,29022,26.49,28-Jul-21,Alive,Wild
GH,3,29022,32.64,26-Aug-21,Alive,Wild
GH,3,29022,50.54,25-Oct-21,Alive,Wild
GH,3,29022,48.48,24-May-22,Alive,Wild
GH,3,29022,57.3,19-Oct-22,Dead,Wild
GH,3,29023,28.59,28-Jul-21,Alive,Wild
GH,3,29023,33.09,26-Aug-21,Alive,Wild
GH,3,29023,53.69,25-Oct-21,Alive,Wild
GH,3,29023,44.46,24-May-22,Alive,Wild
GH,3,29023,57.61,19-Oct-22,Alive,Wild
GH,3,29024,29.23,28-Jul-21,Alive,Wild
GH,3,29024,41.36,26-Aug-21,Alive,Wild
GH,3,29024,41.47,25-Oct-21,Alive,Wild
GH,3,29024,57.83,24-May-22,Alive,Wild
GH,3,29024,76.24,19-Oct-22,Alive,Wild
CL1,3,29025,47.8,28-Jul-21,Alive,Commercial
CL1,3,29025,57.62,26-Aug-21,Alive,Commercial
CL1,3,29025,69.94,25-Oct-21,Alive,Commercial
CL1,3,29025,68.39,24-May-22,Alive,Commercial
CL1,3,29025,103.34,19-Oct-22,Alive,Commercial
GH,3,29026,23.43,28-Jul-21,Alive,Wild
GH,3,29026,32.71,26-Aug-21,Alive,Wild
GH,3,29026,55.7,25-Oct-21,Alive,Wild
GH,3,29026,50.47,24-May-22,Alive,Wild
GH,3,29026,66.41,19-Oct-22,Alive,Wild
GH,3,29027,41.71,28-Jul-21,Alive,Wild
GH,3,29027,50.04,26-Aug-21,Alive,Wild
GH,3,29027,53.23,25-Oct-21,Alive,Wild
GH,3,29027,62.81,24-May-22,Alive,Wild
GH,3,29027,72.71,19-Oct-22,Dead,Wild
GH,3,29028,31.45,28-Jul-21,Alive,Wild
GH,3,29028,35.4,26-Aug-21,Alive,Wild
GH,3,29028,56.3,25-Oct-21,Alive,Wild
GH,3,29028,53.37,24-May-22,Alive,Wild
GH,3,29028,70.67,19-Oct-22,Alive,Wild
GH,3,29029,25.34,28-Jul-21,Alive,Wild
GH,3,29029,31.3,26-Aug-21,Alive,Wild
GH,3,29029,54.69,25-Oct-21,Alive,Wild
